,,,tt(1l),,,tt(2l),,,ttW,,,ttZ,,,Rarett+X(Y),,,V/VV/VVV,,,Total,,,data,,,Ratio,,,C2V=6,,,C2V=4.5,,,C2V=-2,,,C2V=3,,
Tight,LT,Off Mbb-peak,Only SubleadLep60,143.251,±,5.656,54.544,±,3.705,5.577,±,0.206,3.203,±,0.283,12.417,±,1.364,4.074,±,3.715,223.067,±,7.842,147.0,±,12.124,0.659,±,0.059,0.209,±,0.058,0.206,±,0.013,0.11,±,0.025,0.052,±,0.013
Tight,EE,On Mbb-peak,All Nominal Cuts,0.991,±,0.607,0.133,±,0.133,0.205,±,0.04,0.063,±,0.019,0.082,±,0.015,0.016,±,0.015,1.489,±,0.624,0.0,±,0.0,0.0,±,0.0,0.995,±,0.126,0.505,±,0.021,0.365,±,0.046,0.171,±,0.023
Tight,EE,Off Mbb-peak,All Nominal Cuts,0.719,±,0.326,0.19,±,0.19,0.493,±,0.07,0.512,±,0.147,0.414,±,0.031,0.027,±,0.018,2.355,±,0.413,2.0,±,1.414,0.849,±,0.619,0.209,±,0.058,0.098,±,0.009,0.087,±,0.022,0.04,±,0.011
Tight,EM,On Mbb-peak,All Nominal Cuts,0.498,±,0.292,0.0,±,0.0,0.512,±,0.062,-0.042,±,0.118,0.232,±,0.023,0.0,±,0.0,1.201,±,0.322,0.0,±,0.0,0.0,±,0.0,2.633,±,0.206,1.195,±,0.032,0.822,±,0.069,0.407,±,0.035
Tight,EM,Off Mbb-peak,All Nominal Cuts,1.672,±,0.699,0.0,±,0.0,1.51,±,0.113,0.544,±,0.231,0.983,±,0.05,0.074,±,0.034,4.783,±,0.747,2.0,±,1.414,0.418,±,0.303,0.626,±,0.1,0.243,±,0.014,0.191,±,0.033,0.052,±,0.013
Tight,MM,On Mbb-peak,All Nominal Cuts,0.0,±,0.0,0.133,±,0.133,0.328,±,0.05,0.079,±,0.04,0.147,±,0.018,0.009,±,0.009,0.697,±,0.149,0.0,±,0.0,0.0,±,0.0,1.525,±,0.156,0.74,±,0.025,0.515,±,0.055,0.211,±,0.025
Tight,MM,Off Mbb-peak,All Nominal Cuts,0.55,±,0.55,0.0,±,0.0,1.142,±,0.096,0.5,±,0.185,0.642,±,0.041,0.039,±,0.022,2.873,±,0.59,1.0,±,1.0,0.348,±,0.355,0.417,±,0.082,0.162,±,0.012,0.122,±,0.027,0.046,±,0.012
Tight,LL,On Mbb-peak,All Nominal Cuts,1.489,±,0.674,0.267,±,0.189,1.045,±,0.089,0.099,±,0.126,0.461,±,0.033,0.025,±,0.018,3.386,±,0.718,0.0,±,0.0,0.0,±,0.0,5.153,±,0.288,2.44,±,0.045,1.702,±,0.099,0.789,±,0.049
Tight,LL,Off Mbb-peak,All Nominal Cuts,2.941,±,0.947,0.19,±,0.19,3.145,±,0.164,1.556,±,0.33,2.039,±,0.072,0.139,±,0.045,10.011,±,1.037,5.0,±,2.236,0.499,±,0.229,1.252,±,0.142,0.503,±,0.021,0.4,±,0.048,0.138,±,0.021
Loose,EE,On Mbb-peak,All Nominal Cuts,0.868,±,0.595,0.648,±,0.329,0.286,±,0.047,0.242,±,0.093,0.123,±,0.02,0.114,±,0.061,2.28,±,0.691,0.0,±,0.0,0.0,±,0.0,1.043,±,0.129,0.445,±,0.019,0.336,±,0.044,0.159,±,0.022
Loose,EE,Off Mbb-peak,All Nominal Cuts,1.394,±,0.475,0.381,±,0.269,0.95,±,0.084,0.406,±,0.17,0.374,±,0.035,0.1,±,0.048,3.605,±,0.581,6.0,±,2.449,1.664,±,0.731,0.61,±,0.099,0.263,±,0.015,0.156,±,0.03,0.076,±,0.015
Loose,EM,On Mbb-peak,All Nominal Cuts,0.999,±,0.387,0.539,±,0.539,0.687,±,0.078,0.062,±,0.145,0.431,±,0.098,0.132,±,0.072,2.851,±,0.694,0.0,±,0.0,0.0,±,0.0,2.055,±,0.182,1.141,±,0.031,0.735,±,0.065,0.318,±,0.031
Loose,EM,Off Mbb-peak,All Nominal Cuts,3.754,±,0.926,0.857,±,0.354,2.273,±,0.137,1.797,±,0.345,1.248,±,0.204,0.673,±,0.179,10.602,±,1.093,8.0,±,2.828,0.755,±,0.278,1.236,±,0.141,0.617,±,0.023,0.527,±,0.055,0.214,±,0.026
Loose,MM,On Mbb-peak,All Nominal Cuts,0.0,±,0.0,0.0,±,0.0,0.424,±,0.059,0.007,±,0.091,0.313,±,0.131,0.134,±,0.076,0.878,±,0.187,0.0,±,0.0,0.0,±,0.0,1.718,±,0.166,0.666,±,0.024,0.411,±,0.049,0.272,±,0.029
Loose,MM,Off Mbb-peak,All Nominal Cuts,0.375,±,0.265,0.324,±,0.232,1.502,±,0.114,0.318,±,0.088,0.694,±,0.114,0.207,±,0.062,3.419,±,0.402,3.0,±,1.732,0.878,±,0.517,0.883,±,0.119,0.431,±,0.019,0.232,±,0.037,0.162,±,0.022
Loose,LL,On Mbb-peak,All Nominal Cuts,1.867,±,0.709,1.187,±,0.631,1.397,±,0.109,0.311,±,0.195,0.867,±,0.165,0.38,±,0.121,6.009,±,0.997,0.0,±,0.0,0.0,±,0.0,4.816,±,0.278,2.253,±,0.044,1.482,±,0.093,0.75,±,0.048
Loose,LL,Off Mbb-peak,All Nominal Cuts,5.523,±,1.074,1.562,±,0.502,4.724,±,0.197,2.521,±,0.394,2.316,±,0.236,0.979,±,0.196,17.625,±,1.302,17.0,±,4.123,0.965,±,0.245,2.729,±,0.209,1.312,±,0.033,0.915,±,0.073,0.453,±,0.037
Tight,ET,On Mbb-peak,All Nominal Cuts,1.632,±,0.69,0.724,±,0.328,0.098,±,0.026,0.018,±,0.013,0.261,±,0.166,0.0,±,0.0,2.733,±,0.782,0.0,±,0.0,0.0,±,0.0,0.706,±,0.106,0.382,±,0.018,0.22,±,0.036,0.141,±,0.021
Tight,ET,Off Mbb-peak,All Nominal Cuts,3.376,±,0.749,1.676,±,0.537,0.124,±,0.044,0.16,±,0.031,0.36,±,0.284,3.762,±,3.713,9.457,±,3.837,3.0,±,1.732,0.317,±,0.224,0.032,±,0.023,0.068,±,0.008,0.029,±,0.013,0.024,±,0.009
Tight,MT,On Mbb-peak,All Nominal Cuts,1.752,±,0.716,1.244,±,0.646,0.106,±,0.027,0.102,±,0.082,0.135,±,0.066,0.0,±,0.0,3.339,±,0.97,0.0,±,0.0,0.0,±,0.0,0.915,±,0.121,0.471,±,0.02,0.382,±,0.047,0.171,±,0.023
Tight,MT,Off Mbb-peak,All Nominal Cuts,5.658,±,1.022,4.264,±,1.15,0.289,±,0.05,0.29,±,0.119,0.669,±,0.183,0.079,±,0.056,11.249,±,1.556,4.0,±,2.0,0.356,±,0.184,0.096,±,0.039,0.093,±,0.009,0.052,±,0.017,0.012,±,0.006
Tight,LT,On Mbb-peak,All Nominal Cuts,3.384,±,0.994,1.967,±,0.724,0.204,±,0.037,0.12,±,0.083,0.396,±,0.178,0.0,±,0.0,6.072,±,1.246,0.0,±,0.0,0.0,±,0.0,1.621,±,0.161,0.852,±,0.027,0.602,±,0.059,0.312,±,0.031
Tight,LT,Off Mbb-peak,All Nominal Cuts,9.034,±,1.267,5.94,±,1.269,0.413,±,0.067,0.449,±,0.123,1.03,±,0.338,3.84,±,3.713,20.706,±,4.14,7.0,±,2.646,0.338,±,0.145,0.128,±,0.045,0.161,±,0.012,0.081,±,0.022,0.037,±,0.011
