,,,tt(1l),,,tt(2l),,,ttW,,,ttZ,,,Rarett+X(Y),,,V/VV/VVV,,,Total,,,data,,,Ratio,,,C2V=6,,,C2V=4.5,,,C2V=-2,,,C2V=3,,
Tight,LT,On Mbb-peak,Presel,163.003,±,6.246,38.327,±,2.916,4.326,±,0.177,2.74,±,0.344,9.627,±,0.806,0.313,±,0.216,218.336,±,6.955,0.0,±,0.0,0.0,±,0.0,2.665,±,0.207,1.281,±,0.033,0.898,±,0.072,0.434,±,0.036
Tight,LT,Off Mbb-peak,Presel,458.264,±,10.383,131.696,±,5.765,13.628,±,0.317,8.034,±,0.546,34.097,±,2.713,4.513,±,3.716,650.231,±,12.752,454.0,±,21.307,0.698,±,0.036,0.321,±,0.072,0.254,±,0.015,0.127,±,0.027,0.064,±,0.014
Tight,EE,On Mbb-peak,Only Mjj500,1.552,±,0.672,0.672,±,0.555,0.726,±,0.075,0.351,±,0.146,0.444,±,0.034,0.056,±,0.042,3.801,±,0.888,0.0,±,0.0,0.0,±,0.0,1.188,±,0.138,0.611,±,0.023,0.463,±,0.052,0.22,±,0.026
Tight,EE,Off Mbb-peak,Only Mjj500,3.399,±,0.721,2.297,±,0.893,2.174,±,0.134,1.702,±,0.297,1.986,±,0.181,0.079,±,0.035,11.637,±,1.208,11.0,±,3.317,0.945,±,0.301,0.241,±,0.062,0.113,±,0.01,0.116,±,0.026,0.04,±,0.011
Tight,EM,On Mbb-peak,Only Mjj500,1.523,±,0.491,1.187,±,0.631,2.005,±,0.123,0.417,±,0.288,1.306,±,0.079,0.063,±,0.038,6.502,±,0.863,0.0,±,0.0,0.0,±,0.0,3.211,±,0.227,1.493,±,0.035,0.984,±,0.075,0.514,±,0.04
Tight,EM,Off Mbb-peak,Only Mjj500,6.165,±,1.288,1.333,±,0.504,6.27,±,0.23,3.445,±,0.512,4.961,±,0.152,0.4,±,0.088,22.573,±,1.504,25.0,±,5.0,1.107,±,0.233,0.674,±,0.104,0.302,±,0.016,0.243,±,0.038,0.067,±,0.014
Tight,MM,On Mbb-peak,Only Mjj500,0.0,±,0.0,0.324,±,0.232,1.363,±,0.103,0.242,±,0.15,0.851,±,0.078,0.049,±,0.04,2.828,±,0.308,0.0,±,0.0,0.0,±,0.0,1.878,±,0.174,0.938,±,0.028,0.654,±,0.062,0.285,±,0.03
Tight,MM,Off Mbb-peak,Only Mjj500,1.455,±,0.665,0.0,±,0.0,4.385,±,0.189,1.47,±,0.422,2.91,±,0.102,0.095,±,0.04,10.314,±,0.817,13.0,±,3.606,1.26,±,0.364,0.562,±,0.095,0.202,±,0.013,0.151,±,0.03,0.055,±,0.013
Tight,LL,On Mbb-peak,Only Mjj500,3.075,±,0.832,2.183,±,0.872,4.094,±,0.177,1.01,±,0.356,2.601,±,0.116,0.169,±,0.07,13.132,±,1.276,0.0,±,0.0,0.0,±,0.0,6.277,±,0.317,3.042,±,0.051,2.102,±,0.11,1.019,±,0.056
Tight,LL,Off Mbb-peak,Only Mjj500,11.018,±,1.619,3.63,±,1.025,12.829,±,0.327,6.616,±,0.727,9.857,±,0.258,0.574,±,0.103,44.525,±,2.094,49.0,±,7.0,1.1,±,0.166,1.477,±,0.154,0.617,±,0.023,0.51,±,0.054,0.162,±,0.022
Loose,EE,On Mbb-peak,Only Mjj500,2.42,±,0.897,1.943,±,0.569,1.049,±,0.092,0.714,±,0.193,0.693,±,0.07,0.275,±,0.091,7.094,±,1.09,0.0,±,0.0,0.0,±,0.0,1.284,±,0.144,0.545,±,0.021,0.394,±,0.048,0.177,±,0.023
Loose,EE,Off Mbb-peak,Only Mjj500,8.292,±,1.557,2.487,±,0.913,3.176,±,0.156,1.926,±,0.363,2.43,±,0.282,0.501,±,0.127,18.811,±,1.873,22.0,±,4.69,1.17,±,0.275,0.658,±,0.103,0.313,±,0.016,0.208,±,0.035,0.089,±,0.016
Loose,EM,On Mbb-peak,Only Mjj500,7.107,±,1.402,1.758,±,0.712,2.977,±,0.158,1.064,±,0.35,2.251,±,0.224,0.479,±,0.151,15.635,±,1.642,0.0,±,0.0,0.0,±,0.0,2.52,±,0.201,1.37,±,0.034,0.932,±,0.073,0.404,±,0.035
Loose,EM,Off Mbb-peak,Only Mjj500,17.483,±,2.062,5.742,±,1.399,8.929,±,0.27,4.791,±,0.642,6.373,±,0.378,1.734,±,0.276,45.053,±,2.629,52.0,±,7.211,1.154,±,0.174,1.621,±,0.161,0.739,±,0.025,0.625,±,0.06,0.251,±,0.028
Loose,MM,On Mbb-peak,Only Mjj500,3.258,±,0.987,0.324,±,0.232,2.101,±,0.127,0.692,±,0.232,1.27,±,0.189,0.225,±,0.093,7.871,±,1.069,0.0,±,0.0,0.0,±,0.0,1.91,±,0.175,0.852,±,0.027,0.533,±,0.056,0.334,±,0.032
Loose,MM,Off Mbb-peak,Only Mjj500,9.137,±,1.539,1.701,±,0.699,5.957,±,0.222,1.078,±,0.375,4.361,±,1.098,0.754,±,0.139,22.987,±,2.067,26.0,±,5.099,1.131,±,0.244,0.963,±,0.124,0.515,±,0.021,0.301,±,0.042,0.184,±,0.024
Loose,LL,On Mbb-peak,Only Mjj500,12.785,±,1.935,4.024,±,0.941,6.127,±,0.223,2.471,±,0.463,4.214,±,0.302,0.98,±,0.199,30.601,±,2.242,0.0,±,0.0,0.0,±,0.0,5.715,±,0.303,2.766,±,0.048,1.859,±,0.104,0.915,±,0.053
Loose,LL,Off Mbb-peak,Only Mjj500,34.911,±,3.007,9.93,±,1.811,18.062,±,0.383,7.795,±,0.828,13.163,±,1.195,2.989,±,0.334,86.851,±,3.833,100.0,±,10.0,1.151,±,0.126,3.243,±,0.228,1.567,±,0.036,1.135,±,0.081,0.523,±,0.04
Tight,ET,On Mbb-peak,Only Mjj500,13.758,±,2.088,4.545,±,1.058,0.416,±,0.054,0.18,±,0.034,0.863,±,0.236,0.0,±,0.0,19.762,±,2.354,0.0,±,0.0,0.0,±,0.0,0.979,±,0.125,0.505,±,0.021,0.324,±,0.043,0.177,±,0.023
Tight,ET,Off Mbb-peak,Only Mjj500,39.325,±,2.935,10.957,±,1.428,1.031,±,0.094,0.686,±,0.181,2.871,±,0.492,3.943,±,3.714,58.813,±,4.973,46.0,±,6.782,0.782,±,0.133,0.128,±,0.045,0.089,±,0.009,0.046,±,0.016,0.037,±,0.011
