DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.02756013348698616" 
0, comb, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.059936542063951492" 
1, comb, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x)))" 
1, comb, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x)))" 
1, comb, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.13967660069465637" 
1, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.049122259020805359" 
1, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.043598789721727371" 
1, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.038782715797424316" 
1, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.036949444562196732" 
1, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.043523617088794708" 
1, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.04994809627532959" 
1, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.090836621820926666" 
1, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.16102308034896851" 
1, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.046558864414691925" 
1, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.016374086961150169" 
1, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.014532930217683315" 
1, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.012927571311593056" 
1, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.012316481210291386" 
1, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.014507872052490711" 
1, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.016649365425109863" 
1, comb, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.030278874561190605" 
1, comb, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))-0.053674362599849701" 
1, comb, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.13967660069465637" 
1, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.049122259020805359" 
1, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.043598789721727371" 
1, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.038782715797424316" 
1, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.036949444562196732" 
1, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.043523617088794708" 
1, comb, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.04994809627532959" 
1, comb, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.090836621820926666" 
1, comb, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.16102308034896851" 
1, comb, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.046558864414691925" 
1, comb, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.016374086961150169" 
1, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.014532930217683315" 
1, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.012927571311593056" 
1, comb, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.012316481210291386" 
1, comb, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.014507872052490711" 
1, comb, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.016649365425109863" 
1, comb, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.030278874561190605" 
1, comb, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.922748*((1.+(0.0241884*x))/(1.+(0.0223119*x))))+0.053674362599849701" 
2, comb, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.573021*((1.+(0.472221*x))/(1.+(0.27584*x)))" 
2, comb, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.573021*((1.+(0.472221*x))/(1.+(0.27584*x)))" 
2, comb, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.15082257986068726" 
2, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.054858319461345673" 
2, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.053491078317165375" 
2, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.048742711544036865" 
2, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.04667256772518158" 
2, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.047940321266651154" 
2, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.064067237079143524" 
2, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.10955213010311127" 
2, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.16617907583713531" 
2, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.043092165142297745" 
2, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.01567380502820015" 
2, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.015283165499567986" 
2, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.013926489278674126" 
2, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.01333501935005188" 
2, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.013697234913706779" 
2, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.018304925411939621" 
2, comb, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.031300608068704605" 
2, comb, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))-0.047479737550020218" 
2, comb, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.15082257986068726" 
2, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.054858319461345673" 
2, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.053491078317165375" 
2, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.048742711544036865" 
2, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.04667256772518158" 
2, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.047940321266651154" 
2, comb, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.064067237079143524" 
2, comb, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.10955213010311127" 
2, comb, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.16617907583713531" 
2, comb, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.043092165142297745" 
2, comb, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.01567380502820015" 
2, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.015283165499567986" 
2, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.013926489278674126" 
2, comb, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.01333501935005188" 
2, comb, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.013697234913706779" 
2, comb, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.018304925411939621" 
2, comb, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.031300608068704605" 
2, comb, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.573021*((1.+(0.472221*x))/(1.+(0.27584*x))))+0.047479737550020218" 
